track,update_id,title,source,scenario,comparable_within_track,mean_final_tick,mean_peak_population,mean_total_births,mean_matured_children,mean_max_generation,mean_achieved_survivors,mean_stored_food_total,non_extinct_runs,extinctions,notes
founder_250_body14_stability,S0,Baseline before bugfix balance,C:\artificial-evolution\data\founder_opt_250_storage_fix_comparison.json,"population=250, body_14, seeds 7-16",True,594.9,375.5,187.6,108.5,6.6,,,6,4,ใช้เป็น baseline หลักของชุด founder 250 ก่อนการแก้ economy bug และ redesign
founder_250_body14_stability,S1,Direct projected-energy storage fix,C:\artificial-evolution\data\founder_opt_250_storage_fix_comparison.json,"population=250, body_14, seeds 7-16",True,525.2,375.7,161.9,86.6,4.2,,,2,8,แก้บั๊กตรงๆ แล้วผล aggregate แย่ลง แสดงว่าบั๊กเดิมบัง imbalance เชิง economy อยู่
founder_250_body14_stability,S2,Household economy redesign,C:\artificial-evolution\data\founder_opt_250_storage_redesign_comparison.json,"population=250, body_14, seeds 7-16",True,589.7,375.7,185.4,106.4,5.8,,,5,5,เปลี่ยนจากแก้บั๊กตรงๆ ไปสู่ redesign เพื่อกัน personal energy floor ก่อนเก็บ household surplus
founder_250_body14_stability,S3,Adult withdrawal alignment,C:\artificial-evolution\data\founder_opt_250_breeder_priority_comparison.json,"population=250, body_14, seeds 7-16",True,516.3,375.2,164.6,116.2,5.1,,,5,5,ทำให้ผู้ใหญ่ดึงอาหารจาก household ได้สอดคล้องขึ้น แม้ final tick ลด แต่ matured children เพิ่มขึ้น
founder_250_body14_stability,S4,Breeder-priority household allocation,C:\artificial-evolution\data\founder_opt_250_breeder_priority_comparison.json,"population=250, body_14, seeds 7-16",True,649.6,375.5,205.5,145.0,7.5,,,8,2,เป็น intervention ที่ดีที่สุดใน stability track ชุด founder 250 ปัจจุบัน
founder_250_body14_stability,S5,Storage accounting before/after check,C:\artificial-evolution\data\founder_opt_250_storage_fix_comparison.json,"population=250, body_14, seeds 7-16",False,525.2,375.7,161.9,86.6,4.2,,,2,8,ไฟล์นี้เป็น before/after คนละ implementation branch ใช้ดูผลจาก storage accounting fix โดยตรง
founder_250_body14_regressions,R1,Anti-cohort patch regression,C:\artificial-evolution\data\founder_opt_250_anti_cohort_comparison.json,"population=250, body_14, seeds 7-16",True,369.4,263.4,23.9,23.2,2.5,,,0,10,ลด cohort boom ได้ แต่กดระบบลงหนักจน extinction 10/10 และ peak population หดแรง
founder_250_body14_regressions,R2,Settlement overshoot fix regression,C:\artificial-evolution\data\founder_opt_250_settlement_overshoot_fix_comparison.json,"population=250, body_14, seeds 7-16",True,120.2,374.9,125.0,1.4,1.0,,,0,10,หยุด overshoot ได้จริง แต่ฆ่า reproduction pipeline แทบหมด เหลือ matured children ใกล้ศูนย์
long_loop_body14_non_extinction,L1,Long loop baseline,C:\artificial-evolution\data\long_loop_iteration_01.md,"population=250, body_14, max_ticks=20000, seeds 7-16",True,1272.9,,325.1,266.5,12.4,,16235.6,0,10,แม้ไปได้ลึกถึง gen 25 ในบาง seed แต่สุดท้ายสูญพันธุ์ทุก run
long_loop_body14_non_extinction,L2,Active-nest-only support filtering,C:\artificial-evolution\data\long_loop_iteration_02_active_nest_support.md,"population=250, body_14, max_ticks=20000, seeds 7-16",True,1001.3,,252.6,196.0,0.0,,8938.8,0,10,ลด surplus หลอกบางส่วน แต่ยังไม่แก้ non-extinction และ depth โดยรวมลดลง
current_branch_body8_exploratory,C1,Current branch exploratory benchmark,manual benchmark 2026-05-20 on current code branch,"population=50, body_8, seeds 8010/8012/8014/8016, max_ticks=4000",True,154.0,56.5,6.5,1.0,,0.75,2.75,0,4,สะท้อนสถานะล่าสุดของ exploratory branch หลังปรับ reproduction/settlement/hearth/patches แล้ว แต่ยังไม่ข้าม non-extinction
